id	word_id	sg1	sg2	sg3	pl1	pl2	pl3
110	110	6331	6331	вношу'	вношу'	вно'сишь	вно'сишь	вно'сит	вно'сит	вно'сим	вно'сим	вно'сите	вно'сите	вно'сят	вно'сят
111	111	15743	15743	вберу'	вберу'	вберёшь	вберёшь	вберёт	вберёт	вберём	вберём	вберёте	вберёте	вберу'т	вберу'т
112	112	2213	2213	вожу'	вожу'	во'дишь	во'дишь	во'дит	во'дит	во'дим	во'дим	во'дите	во'дите	во'дят	во'дят
113	113	13949	13949	водружу'	водружу'	водрузи'шь	водрузи'шь	водрузи'т	водрузи'т	водрузи'м	водрузи'м	водрузи'те	водрузи'те	водрузя'т	водрузя'т
114	114	1663	1663	вою'ю	вою'ю	вою'ешь	вою'ешь	вою'ет	вою'ет	вою'ем	вою'ем	вою'ете	вою'ете	вою'ют	вою'ют
115	115	3677	3677	возбужу'	возбужу'	возбуди'шь	возбуди'шь	возбуди'т	возбуди'т	возбуди'м	возбуди'м	возбуди'те	возбуди'те	возбудя'т	возбудя'т
116	116	9131	9131	возбужда'ю	возбужда'ю	возбужда'ешь	возбужда'ешь	возбужда'ет	возбужда'ет	возбужда'ем	возбужда'ем	возбужда'ете	возбужда'ете	возбужда'ют	возбужда'ют
117	117	8197	8197	возвращу'	возвращу'	возврати'шь	возврати'шь	возврати'т	возврати'т	возврати'м	возврати'м	возврати'те	возврати'те	возвратя'т	возвратя'т
118	118	4954	4954	возвращу'сь	возвращу'сь	возврати'шься	возврати'шься	возврати'тся	возврати'тся	возврати'мся	возврати'мся	возврати'тесь	возврати'тесь	возвратя'тся	возвратя'тся
119	119	4725	4725	возвраща'ю	возвраща'ю	возвраща'ешь	возвраща'ешь	возвраща'ет	возвраща'ет	возвраща'ем	возвраща'ем	возвраща'ете	возвраща'ете	возвраща'ют	возвраща'ют
120	120	685	685	возвраща'юсь	возвраща'юсь	возвраща'ешься	возвраща'ешься	возвраща'ется	возвраща'ется	возвраща'емся	возвраща'емся	возвраща'етесь	возвраща'етесь	возвраща'ются	возвраща'ются
121	121	24001	24001	возвы'шусь	возвы'шусь	возвы'сишься	возвы'сишься	возвы'сится	возвы'сится	возвы'симся	возвы'симся	возвы'ситесь	возвы'ситесь	возвы'сятся	возвы'сятся
122	122	5485	5485	возвыша'юсь	возвыша'юсь	возвыша'ешься	возвыша'ешься	возвыша'ется	возвыша'ется	возвыша'емся	возвыша'емся	возвыша'етесь	возвыша'етесь	возвыша'ются	возвыша'ются
123	123	7680	7680	возгла'влю	возгла'влю	возгла'вишь	возгла'вишь	возгла'вит	возгла'вит	возгла'вим	возгла'вим	возгла'вите	возгла'вите	возгла'вят	возгла'вят
124	124	4966	4966	возглавля'ю	возглавля'ю	возглавля'ешь	возглавля'ешь	возглавля'ет	возглавля'ет	возглавля'ем	возглавля'ем	возглавля'ете	возглавля'ете	возглавля'ют	возглавля'ют
125	125	10113	10113	воздержу'сь	воздержу'сь	возде'ржишься	возде'ржишься	возде'ржится	возде'ржится	возде'ржимся	возде'ржимся	возде'ржитесь	возде'ржитесь	возде'ржатся	возде'ржатся
126	126	19931	19931	возде'рживаюсь	возде'рживаюсь	возде'рживаешься	возде'рживаешься	возде'рживается	возде'рживается	возде'рживаемся	возде'рживаемся	возде'рживаетесь	возде'рживаетесь	возде'рживаются	возде'рживаются
127	127	3706	3706	вожу'	вожу'	во'зишь	во'зишь	во'зит	во'зит	во'зим	во'зим	во'зите	во'зите	во'зят	во'зят
128	128	23206	23206	возлюблю'	возлюблю'	возлю'бишь	возлю'бишь	возлю'бит	возлю'бит	возлю'бим	возлю'бим	возлю'бите	возлю'бите	возлю'бят	возлю'бят
129	129	17084	17084	возмещу'	возмещу'	возмести'шь	возмести'шь	возмести'т	возмести'т	возмести'м	возмести'м	возмести'те	возмести'те	возместя'т	возместя'т
130	130	12609	12609	возненави'жу	возненави'жу	возненави'дишь	возненави'дишь	возненави'дит	возненави'дит	возненави'дим	возненави'дим	возненави'дите	возненави'дите	возненави'дят	возненави'дят
131	131	995	995	возника'ю	возника'ю	возника'ешь	возника'ешь	возника'ет	возника'ет	возника'ем	возника'ем	возника'ете	возника'ете	возника'ют	возника'ют
132	132	935	935	возни'кну	возни'кну	возни'кнешь	возни'кнешь	возни'кнет	возни'кнет	возни'кнем	возни'кнем	возни'кнете	возни'кнете	возни'кнут	возни'кнут
133	133	2670	2670	возража'ю	возража'ю	возража'ешь	возража'ешь	возража'ет	возража'ет	возража'ем	возража'ем	возража'ете	возража'ете	возража'ют	возража'ют
134	134	1566	1566	возражу'	возражу'	возрази'шь	возрази'шь	возрази'т	возрази'т	возрази'м	возрази'м	возрази'те	возрази'те	возразя'т	возразя'т
135	135	6935	6935	возраста'ю	возраста'ю	возраста'ешь	возраста'ешь	возраста'ет	возраста'ет	возраста'ем	возраста'ем	возраста'ете	возраста'ете	возраста'ют	возраста'ют
136	136	7055	7055	возросту'	возросту'	возростёшь	возростёшь	возростёт	возростёт	возростём	возростём	возростёте	возростёте	возросту'т	возросту'т
137	137	14715	14715			возроди'шь	возроди'шь	возроди'т	возроди'т	возроди'м	возроди'м	возроди'те	возроди'те	возродя'т	возродя'т
138	138	28721	28721	возрожда'ю	возрожда'ю	возрожда'ешь	возрожда'ешь	возрожда'ет	возрожда'ет	возрожда'ем	возрожда'ем	возрожда'ете	возрожда'ете	возрожда'ют	возрожда'ют
139	139	397	397	войду'	войду'	войдёшь	войдёшь	войдёт	войдёт	войдём	войдём	войдёте	войдёте	войду'т	войду'т
140	140	3674	3674	волну'ю	волну'ю	волну'ешь	волну'ешь	волну'ет	волну'ет	волну'ем	волну'ем	волну'ете	волну'ете	волну'ют	волну'ют
141	141	1715	1715	волну'юсь	волну'юсь	волну'ешься	волну'ешься	волну'ется	волну'ется	волну'емся	волну'емся	волну'етесь	волну'етесь	волну'ются	волну'ются
142	142	7618	7618	волочу'	волочу'	воло'чишь	воло'чишь	воло'чит	воло'чит	воло'чим	воло'чим	воло'чите	воло'чите	воло'чат	воло'чат
143	143	11309	11309	волоку'	волоку'	волочёшь	волочёшь	волочёт	волочёт	волочём	волочём	волочёте	волочёте	волоку'т	волоку'т
144	144	8666	8666	воня'ю	воня'ю	воня'ешь	воня'ешь	воня'ет	воня'ет	воня'ем	воня'ем	воня'ете	воня'ете	воня'ют	воня'ют
145	145	4990	4990	вообража'ю	вообража'ю	вообража'ешь	вообража'ешь	вообража'ет	вообража'ет	вообража'ем	вообража'ем	вообража'ете	вообража'ете	вообража'ют	вообража'ют
